ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-15,17.147000000000002,3.2498575464626303,14.581346137630174,17.147000000000002,17.147000000000002,-8.097446272178473,-8.097446272178473,-8.097446272178473,-1.8155381446156613,-1.8155381446156613,-1.8155381446156613,-6.281908127562811,-6.281908127562811,-6.281908127562811,0.0,0.0,0.0,9.049553727821529
2013-01-16,17.136531210005817,3.9686832443559767,14.996218683960274,17.136531210005817,17.136531210005817,-7.439500749872948,-7.439500749872948,-7.439500749872948,-1.12725148347511,-1.12725148347511,-1.12725148347511,-6.3122492663978385,-6.3122492663978385,-6.3122492663978385,0.0,0.0,0.0,9.697030460132869
2013-01-17,17.126062420011635,4.99506550877421,15.790356365830853,17.126062420011635,17.126062420011635,-6.890667484602027,-6.890667484602027,-6.890667484602027,-0.5609680000038906,-0.5609680000038906,-0.5609680000038906,-6.3296994845981365,-6.3296994845981365,-6.3296994845981365,0.0,0.0,0.0,10.235394935409609
2013-01-18,17.115593630017454,6.315607189295443,17.901904872759342,17.115593630017454,17.115593630017454,-5.141334324441614,-5.141334324441614,-5.141334324441614,1.1922584644919347,1.1922584644919347,1.1922584644919347,-6.333592788933548,-6.333592788933548,-6.333592788933548,0.0,0.0,0.0,11.97425930557584
2013-01-19,17.10512484002327,8.17408111932553,19.206360999117805,17.10512484002327,17.10512484002327,-3.3498922945729475,-3.3498922945729475,-3.3498922945729475,2.9737858284258962,2.9737858284258962,2.9737858284258962,-6.323678122998844,-6.323678122998844,-6.323678122998844,0.0,0.0,0.0,13.75523254545032
2013-01-20,17.094656050029087,9.006576535291671,20.202500195192023,17.094656050029087,17.094656050029087,-2.5052293445777187,-2.5052293445777187,-2.5052293445777187,3.794888198834779,3.794888198834779,3.794888198834779,-6.300117543412497,-6.300117543412497,-6.300117543412497,0.0,0.0,0.0,14.589426705451368
2013-01-21,17.084187260034906,0.6916048021917266,12.092084432066585,17.084187260034906,17.084187260034906,-10.720647019610658,-10.720647019610658,-10.720647019610658,-4.45717486366472,-4.45717486366472,-4.45717486366472,-6.263472155945937,-6.263472155945937,-6.263472155945937,0.0,0.0,0.0,6.363540240424248
2013-01-22,17.07371847004072,3.2071911567932165,14.612221630759404,17.07371847004072,17.07371847004072,-8.030214607071356,-8.030214607071356,-8.030214607071356,-1.8155381446086534,-1.8155381446086534,-1.8155381446086534,-6.2146764624627036,-6.2146764624627036,-6.2146764624627036,0.0,0.0,0.0,9.043503862969365
2013-01-23,17.063249680046543,4.333745220808842,15.277605288622446,17.063249680046543,17.063249680046543,-7.282253568848991,-7.282253568848991,-7.282253568848991,-1.1272514834745402,-1.1272514834745402,-1.1272514834745402,-6.155002085374451,-6.155002085374451,-6.155002085374451,0.0,0.0,0.0,9.780996111197553
2013-01-24,17.052780890052357,4.949270750577625,15.59171905049679,17.052780890052357,17.052780890052357,-6.64698011985322,-6.64698011985322,-6.64698011985322,-0.5609680000042978,-0.5609680000042978,-0.5609680000042978,-6.086012119848921,-6.086012119848921,-6.086012119848921,0.0,0.0,0.0,10.405800770199138
2013-01-25,17.042312100058172,6.818182085877782,18.034216254854517,17.042312100058172,17.042312100058172,-4.817249143316156,-4.817249143316156,-4.817249143316156,1.1922584644865684,1.1922584644865684,1.1922584644865684,-6.009507607802724,-6.009507607802724,-6.009507607802724,0.0,0.0,0.0,12.225062956742017
2013-01-26,17.031843310063994,8.472031390962183,19.549532153854653,17.031843310063994,17.031843310063994,-2.9536819970819423,-2.9536819970819423,-2.9536819970819423,2.973785828425647,2.973785828425647,2.973785828425647,-5.927467825507589,-5.927467825507589,-5.927467825507589,0.0,0.0,0.0,14.078161312982052
2013-01-27,17.02137452006981,9.534784263726594,20.080752718259664,17.02137452006981,17.02137452006981,-2.0470980247429265,-2.0470980247429265,-2.0470980247429265,3.7948881988287204,3.7948881988287204,3.7948881988287204,-5.841986223571647,-5.841986223571647,-5.841986223571647,0.0,0.0,0.0,14.974276495326883
2013-01-28,17.010905730075628,1.2286522786775116,12.111694398660921,17.010905730075628,17.010905730075628,-10.21237881439601,-10.21237881439601,-10.21237881439601,-4.457174863661662,-4.457174863661662,-4.457174863661662,-5.755203950734346,-5.755203950734346,-5.755203950734346,0.0,0.0,0.0,6.798526915679618
2013-01-29,17.000436940081443,3.9848374243867966,15.085561805129025,17.000436940081443,17.000436940081443,-7.484781074164823,-7.484781074164823,-7.484781074164823,-1.8155381446201213,-1.8155381446201213,-1.8155381446201213,-5.669242929544702,-5.669242929544702,-5.669242929544702,0.0,0.0,0.0,9.51565586591662
