item,avg_sales_item
1,21.981599123767797
2,58.57415115005477
3,36.64222343921139
4,22.01024096385542
5,18.35870755750274
6,58.50388828039431
7,58.53105147864184
8,76.9500547645126
9,51.38986856516977
10,73.22743702081051
11,69.65635268346112
12,69.63493975903614
13,84.31659364731654
14,58.68187294633078
15,88.03077765607885
16,25.656078860898138
17,32.99485213581599
18,84.27579408543264
19,40.35553121577218
20,47.51593647316539
21,40.3170865279299
22,80.50224534501643
23,29.297864184008763
24,66.04463307776561
25,80.68641840087624
26,47.64408543263965
27,22.04972617743702
28,87.88132530120482
29,69.61883899233297
30,40.33702081051479
31,58.64430449069003
32,43.98176341730559
33,69.56095290251916
34,25.73576122672508
35,65.80180722891566
36,77.0289156626506
37,29.258378970427163
38,80.52190580503833
39,43.88340635268346
40,29.249397590361447
41,22.002135815991238
42,36.688116100766706
43,51.29435925520263
44,29.398192771084336
45,80.58417305585981
46,58.63986856516977
47,22.003340635268348
48,51.35284775465498
49,29.335323110624316
50,65.88220153340636
