item,mean,std,cv
1,21.981599123767797,8.468922441134975,0.38527326394456346
2,58.57415115005477,20.093015260174976,0.3430355347139536
3,36.64222343921139,13.179440956720127,0.35967907293029083
4,22.01024096385542,8.403898167248656,0.38181763575643235
5,18.35870755750274,7.265167117101201,0.39573412748938913
6,58.50388828039431,20.17489757981972,0.34484712337625406
7,58.53105147864184,20.146002208761757,0.34419341016132426
8,76.9500547645126,26.13069693280815,0.33957996537851665
9,51.38986856516977,17.79015753484042,0.34618024975642686
10,73.22743702081051,24.823725392345782,0.3389948686213219
11,69.65635268346112,23.744731848275524,0.3408839385573135
12,69.63493975903614,23.738662518497886,0.3409016019923741
13,84.31659364731654,28.311030951322746,0.33577057286900697
14,58.68187294633078,20.07986000189415,0.3421816481600506
15,88.03077765607885,29.522852364006905,0.33536966445244437
16,25.656078860898138,9.603270476054993,0.3743078015982842
17,32.99485213581599,11.967610404095003,0.36271144222235
18,84.27579408543264,28.430620574717125,0.3373521529313179
19,40.35553121577218,14.332645118896707,0.3551593718903908
20,47.51593647316539,16.49048698291176,0.34705170952959663
21,40.3170865279299,14.338005561180383,0.3556309941009166
22,80.50224534501643,27.118162902084755,0.3368621929222193
23,29.297864184008763,10.819549411674561,0.36929481766046424
24,66.04463307776561,22.53155544931688,0.3411564937121634
25,80.68641840087624,27.238816836573765,0.33758862242766197
26,47.64408543263965,16.723912349552645,0.35101759636455426
27,22.04972617743702,8.461640937800071,0.38375265387461704
28,87.88132530120482,29.501781358798294,0.3357002327591643
29,69.61883899233297,23.635630558457006,0.33950049872362803
30,40.33702081051479,14.363330835280587,0.3560830856287842
31,58.64430449069003,20.104705324098997,0.3428245163567535
32,43.98176341730559,15.57455569172637,0.3541139436350617
33,69.56095290251916,23.718342848315967,0.3409720807239977
34,25.73576122672508,9.617909977695907,0.37371771881797966
35,65.80180722891566,22.46198965503526,0.34135824836684214
36,77.0289156626506,26.0674395439516,0.33841109302530464
37,29.258378970427163,10.771547330193798,0.36815256720412
38,80.52190580503833,27.141799278406946,0.3370734833838056
39,43.88340635268346,15.511549914164837,0.35347187475605596
40,29.249397590361447,10.822958893072329,0.370023309356594
41,22.002135815991238,8.40247029279895,0.38189339267199696
42,36.688116100766706,13.215111873864613,0.3602014297373106
43,51.29435925520263,17.801008030593813,0.34703636596821924
44,29.398192771084336,10.797738017928527,0.3672925782209659
45,80.58417305585981,27.318401616343674,0.3390045536287497
46,58.63986856516977,20.220878698935415,0.34483158290954935
47,22.003340635268348,8.420102212407434,0.38267381085357377
48,51.35284775465498,17.88191668715682,0.34821665144239017
49,29.335323110624316,10.874787902164462,0.3707062595204878
50,65.88220153340636,22.416030601466165,0.3402441035626268
